CORPORATE_IDENTIFICATION_NUMBER,DATE_OF_REGISTRATION,COMPANY_NAME,COMPANY_STATUS,COMPANY_CLASS,COMPANY_CATEGORY,AUTHORIZED_CAPITAL,PAIDUP_CAPITAL,REGISTERED_STATE,REGISTRAR_OF_COMPANIES,PRINCIPAL_BUSINESS_ACTIVITY,REGISTERED_OFFICE_ADDRESS,SUB_CATEGORY
U00006KA1993PTC015065,24-12-1993,SAS AQUA CULTUREANDEXPORTS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00",200,Karnataka,RoC-Bangalore,NA,"363,MUTHRUKRUPA,80 FT,ROADMTF EXTENSION,R.T.NAGAR BANGALORE Karnataka INDIA",Indian Non-Government Company
U00006KA1994PLC015251,21-02-1994,AQUIN PARK LIMITED,ACTIVE,Public,Company Limited by Shares,"26,000,000.00","9,610,000.00",Karnataka,RoC-Bangalore,NA,"HANUMANT PAI HOUSE 30, RAGHUNATH ROAD, BHATKAL TH ROAD BHATKAL Karnataka INDIA",Indian Non-Government Company
U00006KA1994PLC016278,19-09-1994,AQUARIUS FISHERIES KARNATAKA LIMITED,STRIKE OFF,Public,Company Limited by Shares,"50,000,000.00","4,000.00",Karnataka,RoC-Bangalore,NA,"37,I FLOOR,2 MAIN,VYALIKAVALBANGALORE-3 BANGALORE Karnataka INDIA 560003",Indian Non-Government Company
U00006KA1994PTC016269,19-09-1994,ORISSA AQUA CULTURE COMPANY PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"2,000,000.00","2,000.00",Karnataka,RoC-Bangalore,NA,"955A,9TH A CROSS,WEST FOF CHORD ROAD,BANGALORE BANGALORE Karnataka INDIA",Indian Non-Government Company
U00006KA1995PLC017863,25-05-1995,SHREE ARYUADURGA AQUA PRODUCTS LIMITED,STRIKE OFF,Public,Company Limited by Shares,"1,000,000.00",700,Karnataka,RoC-Bangalore,NA,"BINAGA POST,KARWAR T.KU.K 581 364 Karnataka INDIA",Indian Non-Government Company
U00006KA1995PTC016872,02-01-1995,FRONTLINE AQUA ESTATES PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00",400,Karnataka,RoC-Bangalore,NA,"43-44,FIRST FLOOR,LAXMICOMPLEX,NEELIGIN ROAD HUBLI HUBLI Karnataka INDIA",Indian Non-Government Company
U00006KA1995PTC017546,05-04-1995,SHAI AQUABIOS EXPORTS PRIVATE LIMITED.,STRIKE OFF,Private,Company Limited by Shares,"2,500,000.00",300,Karnataka,RoC-Bangalore,NA,"HANDADY PADUMANE,BRAHMAVAR -576213, UDUPI DISTRICT. UDUPI Karnataka INDIA",Indian Non-Government Company
U00006KA1995PTC017692,27-04-1995,ZEN AQUA PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00",200,Karnataka,RoC-Bangalore,NA,"NO.27, BASAPPA ROAD, SHANTHINAGAR, BANGALORE Karnataka INDIA 560026",Indian Non-Government Company
U00006KA1995PTC017809,12-05-1995,KANCHIKA AQUATECH PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00",200,Karnataka,RoC-Bangalore,NA,"PRABHU BUILDING, BUNDER ROAD, HONNAVAR Karnataka INDIA 581395",Indian Non-Government Company
U00006KA1995PTC019371,12-12-1995,PRAMAH PROCESSORS AND FREEZERS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"5,000,000.00",20,Karnataka,RoC-Bangalore,NA,"HOUSE NO.8-1552,NEHRU GUNJGULBARGA 585 104 Karnataka INDIA",Indian Non-Government Company
U00006KA1996PTC021018,22-08-1996,RUBICON AQUATECH PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"2,000,000.00","2,000.00",Karnataka,RoC-Bangalore,NA,Jigina Industrial Area Anekal Bangalore Karnataka INDIA,Indian Non-Government Company
U00009KA1901PLC000023,01-01-1901,MYSORE NATIONAL BANK LIMITED,STRIKE OFF,Public,Company Limited by Shares,"100,000.00",NA,Karnataka,RoC-Bangalore,NA,MYSORE MYSORE MYSORE Karnataka INDIA,Indian Non-Government Company
U00010KA1947PLC000446,02-01-1947,COFFEE LANDS LIMITED,AMALGAMATED,Public,Company Limited by Shares,"20,000,000.00",NA,Karnataka,RoC-Bangalore,NA,"POST BOX NO.24, SAKLASPUR,HASSAN DISTRICT KARNATAKA, PIN CODE:573134. PIN CODE:573134. Karnataka INDIA",Indian Non-Government Company
U00010KA1984PTC006275,09-08-1984,GLENMORGAN TEA AND PLASTICS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00",NA,Karnataka,RoC-Bangalore,NA,"FLAT NO. 75A, IMPERIAL COURTAPARTMENTS, 33/1 CUNNINGHAM ROAD, BANGALORE-560 052. ROAD, BANGALORE-560 052. Karnataka INDIA",Indian Non-Government Company
U00010KA1988PTC009631,28-11-1988,BT PLANTATCONS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00",200,Karnataka,RoC-Bangalore,NA,"NO.11,JEEVAN BUILDING II FLOORKUMARAPARK EAST BANGLAOREKUMARAPARK EAST BANGLAORE Karnataka INDIA",Indian Non-Government Company
U00010KA1988PTC009702,20-12-1988,PONNAGIRI PLANTATIONS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00",200,Karnataka,RoC-Bangalore,NA,"NO.16, I BLOCKII STAGE, R M V EXTENSION BANGALORE - 560094 BANGALORE Karnataka INDIA 560094",Indian Non-Government Company
U00010KA1993PTC014562,21-07-1993,AP ROCKS PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"3,500,000.00","4,000.00",Karnataka,RoC-Bangalore,NA,"38, III CROSS, CHOLARAPALYA,BANGALORE 560 023 . Karnataka INDIA",Indian Non-Government Company
U00010KA1994PLC016262,16-09-1994,THAISOLA TEA COMPANY LIMITED,DORMANT,Public,Company Limited by Shares,"350,000.00","35,000.00",Karnataka,RoC-Bangalore,NA,"""""BROOKEFIELDS"""" KUNDALAHALLI,MARATHAHALLI PO, BANGALORE BANGALORE Karnataka INDIA 560037",Indian Non-Government Company
U00010KA1994PLC016264,16-09-1994,DAVERASHOLA TEA COMPANY LIMITED,DORMANT,Public,Company Limited by Shares,"1,200,000.00","1,200,000.00",Karnataka,RoC-Bangalore,NA,"""""BROOKEFIELDS"""" LIMDALAHALLI,MARATHAHALLI, BANGALORE-37 BANGALORE Karnataka INDIA 560037",Indian Non-Government Company
U00011KA1952PTC000718,25-03-1952,COFFEE AND SPICES COMPANY PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00",NA,Karnataka,RoC-Bangalore,NA,"NO.44, RACE COURSE ROAD,BANGALORE-1. BANGALORE-1. Karnataka INDIA",Indian Non-Government Company
U00011KA1955PTC000807,12-04-1955,SULGODE ESTATE PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"100,000.00","100,000.00",Karnataka,RoC-Bangalore,NA,Karnataka INDIA,Indian Non-Government Company
U00011KA1966PLC001652,14-12-1966,VEERARAJENDRA ESTATES LIMITED,AMALGAMATED,Public,Company Limited by Shares,"2,500,000.00",70,Karnataka,RoC-Bangalore,NA,POLLIBETTA KODAGU KODAGU Karnataka INDIA,Indian Non-Government Company
U00011KA1993PTC014023,18-02-1993,PLANTERS TRADING COMPANY PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"3,000,000.00",300,Karnataka,RoC-Bangalore,NA,P.O. BOX 51BELUR ROAD HASSAN HASSAN Karnataka INDIA,Indian Non-Government Company
U00011KA1995PTC017075,01-02-1995,GREENTECH COFFEE (INDIA)PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00",NA,Karnataka,RoC-Bangalore,NA,"OPP.SRIRAM TEMPLE,RATNAGIRI ROAD,CHIKAMAGALUR 577 101 Karnataka INDIA",Indian Non-Government Company
U00011KA1996PTC020007,07-03-1996,SURYA MIRACLE CROPS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","3,000.00",Karnataka,RoC-Bangalore,NA,"305, II FLOOR,SHILLY PLAZA,KAMARAJA ROAD BANGALORE-42 Karnataka INDIA",Indian Non-Government Company
U00012KA1948PLC000522,04-02-1948,BUPSAGAR ESTATES LIMITED,DISSOLVED,Public,Company Limited by Shares,"100,000.00",NA,Karnataka,RoC-Bangalore,NA,BANGALORE BANGALORE BANGALORE Karnataka INDIA,Indian Non-Government Company
U00012KA1948PTC000520,30-01-1948,"MADHURA KRISHNAIYA AND CO., PRIVATE LIMITED",DISSOLVED,Private,Company Limited by Shares,"100,000.00",NA,Karnataka,RoC-Bangalore,NA,BANGALORE Karnataka INDIA 560001,Indian Non-Government Company
U00012KA1948PTC000523,26-02-1948,MYSORE MOTORS PRIVATE LIMITED,UNDER PROCESS OF STRIKING OFF,Private,Company Limited by Shares,"100,000.00",20,Karnataka,RoC-Bangalore,NA,"12, KUMARA PARK EXTENSION,HIGHGROUNDS BANGALORE BANGALORE Karnataka INDIA",Indian Non-Government Company
U00012KA1948PTC000524,05-03-1948,SWASTIK TRANSPORT COMPANY PRIVATE LIMITED,DISSOLVED,Private,Company Limited by Shares,"100,000.00",NA,Karnataka,RoC-Bangalore,NA,BANGALORE BANGALORE BANGALORE Karnataka INDIA,Indian Non-Government Company
U00012KA1948PTC000527,17-03-1948,STANDARD MACHINERY COMPANY PRIVATE LIMITED,UNDER LIQUIDATION,Private,Company Limited by Shares,"100,000.00","100,000.00",Karnataka,RoC-Bangalore,NA,87. SILVER JUBILEE PARK ROADBANGALORE 2 Karnataka INDIA,Indian Non-Government Company
U00012KA1948PTC000532,13-04-1948,PARAKH EXPORT AND IMPORT PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00",NA,Karnataka,RoC-Bangalore,NA,"P.B.NO. 81, YESHAWANTPURBANGALORE BANGALORE Karnataka INDIA",Indian Non-Government Company
U00012KA1948ULT000526,15-03-1948,THE MYSORE TRADERS AND CRAFTS PRIVATE LIMITED,STRIKE OFF,Private,Unlimited Company,"100,000.00",NA,Karnataka,RoC-Bangalore,NA,HASSAN HASSAN HASSAN Karnataka INDIA,Subsidiary of Foreign Company
U00012KA1992PLC012800,06-02-1992,ARJUN PLANTIONS LIMITED.,STRIKE OFF,Public,Company Limited by Shares,"2,500,000.00",NA,Karnataka,RoC-Bangalore,NA,"PRATHIBHA,II BEHIND GURUMURTHYREDDY LAYOUT, RAMAMURTHY NAGAR BANGALORE-16. NAGAR BANGALORE Karnataka INDIA",Indian Non-Government Company
U00013KA1984PTC006001,04-04-1984,TABASTE PROCESSORS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"100,000.00",NA,Karnataka,RoC-Bangalore,NA,"#272/4, 6TH MAIN, 5TH CROSSHAL 3RD STAGE NEW TIPPASANDRA BANGALORE-560075 BANGALORE-560075 Karnataka INDIA",Indian Non-Government Company
U00014KA1948PLC000519,29-01-1948,THE KARNATAKA PRINTERS LIMITED,DISSOLVED,Public,Company Limited by Shares,"500,000.00",NA,Karnataka,RoC-Bangalore,NA,"20,4TH MAIN ROAD,CHAMARAJAPET BANGALORE CHAMARAJAPET BANGALORE Karnataka INDIA",Indian Non-Government Company
U00015KA1988PTC009551,2-11-1988,FAMA ARECA-NUT MARKETING MEDIA PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"500,000.00","200,000.00",Karnataka,RoC-Bangalore,NA,NO.6/62 /1 MARKET ROAD SAGARSHIMEGA SHIMEGA Karnataka INDIA,Indian Non-Government Company
U00016KA1992PTC013632,21-10-1992,RATHNAGIRI GARDENCARE PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00",700,Karnataka,RoC-Bangalore,NA,"57,JAYALAKSHMI CHAMBERS(BASEMENT FLOOR) RESIDENCY ROAD,BANGALORE Bangalore Karnataka INDIA",Indian Non-Government Company
U00016KA1993PTC014855,28-10-1993,MUNDHPKUR CASHEW EXPORTS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"2,100,000.00","391,000.00",Karnataka,RoC-Bangalore,NA,"2-21-1669/9GROUND FLOOR,HILL DALEMANOR KULUR FERRY ROAD,MANGALORE Mysore Karnataka INDIA 575006",Indian Non-Government Company
U00016KA1993PTC014862,29-10-1993,GMA INDSTRIAL AND TRADING COMPANY PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"10,000,000.00",NA,Karnataka,RoC-Bangalore,NA,"PORT ROAD,BUNDERMANGALORE 575001 575001 Karnataka INDIA",Indian Non-Government Company
U00017KA1988PLC009116,20-05-1988,READY FOODS LIMITED,DORMANT,Public,Company Limited by Shares,"300,000,000.00","100,000.00",Karnataka,RoC-Bangalore,NA,"1332, DOUBLE ROAD, INDIRA NAGAR II STAGE BANGALORE Karnataka INDIA 560038",Indian Non-Government Company
U00017KA1992PTC013175,21-05-1992,EDEN FLORI AGRO PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","2,000.00",Karnataka,RoC-Bangalore,NA,"S & B TOWERS, II FLOOR, 40/1M.G. ROAD BANGALORE-1. BANGALORE Karnataka INDIA",Indian Non-Government Company
U00017KA1993PTC013847,04-01-1993,AMAR ORCHARDS AND EXPORTERS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"100,000.00","15,000.00",Karnataka,RoC-Bangalore,NA,"XI/233, BANGALORE ROADBELLARY BELLARY BELLARY Karnataka INDIA 583101",Indian Non-Government Company
U00017KA2000PTC026961,20-04-2000,TARA'S DAFFODILS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00",NA,Karnataka,RoC-Bangalore,NA,"# 403, 4TH FLOOR,HOUSE OF LORDS, ST. MARKS ROAD, BANGALORE - 560 001. Karnataka INDIA",Indian Non-Government Company
U00018KA1997PLC021798,12-02-1997,SHIVGIRI PLANTATIONS LIMITED,STRIKE OFF,Public,Company Limited by Shares,"5,000,000.00",NA,Karnataka,RoC-Bangalore,NA,"VIOLET COMPLEX,S.C.S HOSPITALROAD,MANGALORE ROAD,MANGALORE Karnataka INDIA",Indian Non-Government Company
U00019KA1950PTC000840,11-07-1950,THE COORG TIMBERS PRIVATE LIMITED,DISSOLVED,Private,Company Limited by Shares,"100,000.00",NA,Karnataka,RoC-Bangalore,NA,VIRAJPETCOORG. COORG. Karnataka INDIA,Indian Non-Government Company
U00019KA1950PTC000995,18-04-1950,KARNATAK FARMS PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"1,000.00",900,Karnataka,RoC-Bangalore,NA,"SARASWATATPUR, DHARWAR-2 DHARWAR-2 Karnataka INDIA",Indian Non-Government Company
U00019KA1973PTC002283,03-01-1973,SHREE GANRAJ ESSENTIAL OILS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"250,000.00","15,000.00",Karnataka,RoC-Bangalore,NA,"SITA NIVAS, ROYAL COTTAGE,RAMA PALACE COMPOUND, BELGAUM. BELGAUM. Karnataka INDIA",Indian Non-Government Company
U00019KA1992PTC013181,22-05-1992,PALM AGRO (MANGALORE) PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"2,500,000.00","20,000.00",Karnataka,RoC-Bangalore,NA,"SADHANA BEHIND CANARA HIGHSCHOOL, URVA, GANDHINAGAR, MAGANLORE. MAGANLORE Karnataka INDIA",Indian Non-Government Company
U00019KA1992PTC013452,18-08-1992,JAIN TEAK PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"2,500,000.00","50,000.00",Karnataka,RoC-Bangalore,NA,"52,VANIVILAS ROADOPP.NATIONAL COLLEGE BASAVANAGUDI BANGALORE Karnataka INDIA",Indian Non-Government Company
U00019KA1992PTC013576,28-09-1992,SWAN GREENS PRIVATE LIMITED.,STRIKE OFF,Private,Company Limited by Shares,"5,000,000.00","3,000.00",Karnataka,RoC-Bangalore,NA,"34/2, HARIRAM COMPLEX,K.G. ROAD, BANGALORE BANGALORE Karnataka INDIA",Indian Non-Government Company
U00019KA1992PTC013833,29-12-1992,SANKALPA TEAK AND PLANTATIONS PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"500,000.00","2,000.00",Karnataka,RoC-Bangalore,NA,"C/O,SHRI S.GIRISH BABUASWINI NAGAR,HAVERI HAVERI HAVERI Karnataka INDIA 581110",Indian Non-Government Company
U00019KA1993PLC014611,05-08-1993,KALPAVRUKSHA PLANTATION INDIA LIMITED,STRIKE OFF,Public,Company Limited by Shares,"10,000,000.00",NA,Karnataka,RoC-Bangalore,NA,"BUS STAND,SINDHANURRAICHUR RAICHUR Karnataka INDIA",Indian Non-Government Company
U00019KA1993PLC014930,17-11-1993,CANARA AGRO PRODUCTS LIMITED,STRIKE OFF,Public,Company Limited by Shares,"2,500,000.00",NA,Karnataka,RoC-Bangalore,NA,"SURVEY NO.199\200\234, TALI-PADI VILLAGE PUNAROOR-574 150 PADI VILLAGE, PUNAROOR-574 150 Karnataka INDIA",Indian Non-Government Company
U00019KA1993PTC013849,05-01-1993,GREENPEACE PLANTATIONS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","2,000.00",Karnataka,RoC-Bangalore,NA,"NO.400, 8TH CROSS, GOKULIST STAGE, I PHASE, MATHIKERE,BANGALORE-560 054. BANGALORE Karnataka INDIA",Indian Non-Government Company
U00019KA1993PTC013981,08-02-1993,SRI JAGAJYOTHI TEAK DEVELOPERS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,000,000.00","500,000.00",Karnataka,RoC-Bangalore,NA,"1737/A 17TH CROSSMAGADI CORD ROAD, VIJAYANAGAR BANGALORE BANGALORE Karnataka INDIA 560040",Indian Non-Government Company
U00019KA1993PTC014004,12-02-1993,NISARGA PLANTATIONS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"200,000.00",NA,Karnataka,RoC-Bangalore,NA,"ROOM NO.7,CIRCLE LODGEASHOKA ROAD,SAGAR 577401,SHIMOGA 577401,SHIMOGA Karnataka INDIA",Indian Non-Government Company
U00019KA1993PTC014053,02-03-1993,HIREGOUDARANDSAWKAR PLANTATIONS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"2,500,000.00","25,000.00",Karnataka,RoC-Bangalore,NA,SHINDE COMPLEX NEELIGIN ROAD HUBLI Karnataka INDIA,Indian Non-Government Company
U00019KA1993PTC014127,19-03-1993,PEARL VALLEY FARMS AND RESORTS PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"500,000.00","4,000.00",Karnataka,RoC-Bangalore,NA,"NO.503, VTH BLOCK, RANKA PARK,LALBAGH ROAD BANGALORE 560027 BANGALORE Karnataka INDIA",Indian Non-Government Company
U00019KA1993PTC014130,22-03-1993,GOLDEN TREASURE PLANTATION ANDFINANCIERS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"100,000.00","4,000.00",Karnataka,RoC-Bangalore,NA,"CJS NO.3254,A-3A STATION ROADHAVERI,DHARWAD 581110 Karnataka INDIA",Indian Non-Government Company
U00019KA1993PTC014230,21-04-1993,APARNA FLORITECH (INDIA) PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","4,000.00",Karnataka,RoC-Bangalore,NA,"33, KAVERIAPPA LAY OUT MILLERTANKBUND ROAD BANGALORE Karnataka INDIA",Indian Non-Government Company
U00019KA1993PTC014286,05-05-1993,IASHWARAYA PLANTATIONS AND NURSARY PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"100,000.00",NA,Karnataka,RoC-Bangalore,NA,"913 4TH MAIN VI PHASE J.P.NAGAR, BANGALORE. NAGAR, BANGALORE. Karnataka INDIA",Indian Non-Government Company
U00019KA1993PTC014542,16-07-1993,MEHNA PLANTATIONS PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"10,000,000.00","2,000.00",Karnataka,RoC-Bangalore,NA,"DSOUZA BUILDING, 2ND FLOOR,OPP. GOVT. COLLEGE, MANGALORE-1. Karnataka INDIA",Indian Non-Government Company
U00019KA1993PTC014644,17-08-1993,VEDGANGA FARMS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00",NA,Karnataka,RoC-Bangalore,NA,"107,HMT LAY OUT,R.T.NAGAR(P.O)BANGALORE 560032 560032 Karnataka INDIA",Indian Non-Government Company
U00019KA1993PTC014721,10-09-1993,NISARGA FRUITS AND PLANTATIONS PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"1,000,000.00","3,000.00",Karnataka,RoC-Bangalore,NA,"SUITE 113, I FLOOR, RICHMONDRS, 12 RICHMOND ROAD BANGALORE BANGALORE Karnataka INDIA",Indian Non-Government Company
U00019KA1993PTC014759,28-09-1993,MALINDE GREEN FARMS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00",NA,Karnataka,RoC-Bangalore,NA,"79, 5TH CROSS, BANK AVENUE,KAMMANAHALLI BANGALORE. KAMMANAHALLI, BANGALORE. Karnataka INDIA",Indian Non-Government Company
U00019KA1993PTC014774,30-09-1993,HUNBLI TEAK PLANTATIONS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00",200,Karnataka,RoC-Bangalore,NA,"2, LAXMI COMPLEX, II FLOOR,NEELIGIN ROAD, HUBLI Neeligin Road, HUBLI Karnataka INDIA",Indian Non-Government Company
U00019KA1993PTC014787,5-10-1993,VAJRA TEAK PLANTATIONS PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"200,000.00",400,Karnataka,RoC-Bangalore,NA,"ENKAY COMPLEX,III FLOOR,KESHAVAPUR, HUBLI-580 023. HUBLI Karnataka INDIA 580023",Indian Non-Government Company
U00019KA1993PTC014878,4-11-1993,MALATI AGRO CHEM PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"11,000,000.00","50,000.00",Karnataka,RoC-Bangalore,NA,"KERUR VILLAGE, DT:BELGAUM,CHIKODI POLICE STATION. Chikodi police station Bangalore Karnataka INDIA",Indian Non-Government Company
U00019KA1993PTC014899,8-11-1993,MANJUSHRI TEAK PLANTATIONS AND INVESTMENTS PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"200,000.00","100,000.00",Karnataka,RoC-Bangalore,NA,"NO.6, IST FLOOR, SHIVA COMP-LEX NEXT TO USHA NURSING HOME SAWALANGA ROAD SHIMOGA - Bangalore Karnataka INDIA 577201",Indian Non-Government Company
U00019KA1993PTC015037,15-12-1993,ALL SEASONS COUNTRY HOME AND PLANTATIONS PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"500,000.00","500,000.00",Karnataka,RoC-Bangalore,NA,"288,15TH MAIN,RMV EXTENSIONBANGALORE Karnataka INDIA",Indian Non-Government Company
U00019KA1994PLC015639,16-05-1994,SPHERE AGROTECH LIMITED,ACTIVE,Public,Company Limited by Shares,"10,000,000.00","500,000.00",Karnataka,RoC-Bangalore,NA,"54, 3rd floor, 13th Main, 17th Cross, HSR Layout, Bangalore Karnataka INDIA 560102",Indian Non-Government Company
U00019KA1994PLC016283,20-09-1994,UNITED FLORICULTURE INDIA LIMITED,STRIKE OFF,Public,Company Limited by Shares,"500,000.00","1,000.00",Karnataka,RoC-Bangalore,NA,"477,OPP.CHURCH,NEW THIPPA SANDRA,BANGALORE Karnataka INDIA 560075",Indian Non-Government Company
U00019KA1994PTC015199,07-02-1994,CHIRANJEEVI AGRO PRODUCTS PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","20,000.00",Karnataka,RoC-Bangalore,NA,"CA SITE NO. 40, I PHASE J.P.NAGAR, BANGALORE. Karnataka INDIA",Indian Non-Government Company
U00019KA1994PTC015206,08-02-1994,KRK FARMS AND PLANTATIONS PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"2,500,000.00","2,000.00",Karnataka,RoC-Bangalore,NA,"13, I CROSS, V A BLOCK, KORAMANGALA, BANGALORE. Karnataka INDIA",Indian Non-Government Company
U00019KA1994PTC015240,15-02-1994,PACHI AGRO PRODUCTS PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"1,000,000.00","20,000.00",Karnataka,RoC-Bangalore,NA,"DEVANAGERI VILLAGE, VIRAJPET,TALUK KODAGU Karnataka INDIA",Indian Non-Government Company
U00019KA1994PTC015286,01-03-1994,PALMOUNT PLANTATIOSANDRESORTS PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"500,000.00","200,000.00",Karnataka,RoC-Bangalore,NA,"KONENA AGRAHARA,HAL(P.O)BANGALORE Karnataka INDIA",Indian Non-Government Company
U00019KA1994PTC015313,07-03-1994,CHINNAPPAGOUDRA TEAKANDPLANTATIONS PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"250,000.00","20,000.00",Karnataka,RoC-Bangalore,NA,"ROOM NO. 220, SHRI KRISHNABHAVAN, LAMINGTON ROAD, HUBLI Karnataka INDIA",Indian Non-Government Company
U00019KA1994PTC015391,22-03-1994,STEWART NURSERIES PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"100,000.00","57,100.00",Karnataka,RoC-Bangalore,NA,"601,TARA APARTMENTS,132,INFANTRY ROAD BANGALORE Karnataka INDIA",Indian Non-Government Company
U00019KA1994PTC016097,19-08-1994,RICHMOUNT PLANTATIONS INDIA PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"500,000.00","4,000.00",Karnataka,RoC-Bangalore,NA,"C-10,DEVATHA PLAZARESIDENCY ROAD BANGALORE Karnataka INDIA 560025",Indian Non-Government Company
U00019KA1994PTC016170,30-08-1994,DAS FLOWERS PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"10,000,000.00",200,Karnataka,RoC-Bangalore,NA,"131,LALBAGH ROADBANGALORE-27 BANGALORE Karnataka INDIA 560027",Indian Non-Government Company
U00019KA1994PTC016300,23-09-1994,RAJA POULTRY FARM PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"2,500,000.00","20,000.00",Karnataka,RoC-Bangalore,NA,"MAKALI VILLAGE,DASANPURA HOBLIBANGALORE(NORTH) BANGALORE Karnataka INDIA",Indian Non-Government Company
U00019KA1994PTC016541,11-11-1994,VAISHNAVI PLANTATIONS & SHELTERS PRIVATE LIMITED,ACTIVE,Private,Company Limited by Shares,"1,000,000.00","100,000.00",Karnataka,RoC-Bangalore,NA,"NO.49/16, 34TH CROSS, 11TH MAIN, 4TH ' T ' BLOCK, JAYANAGAR BANGALORE Karnataka INDIA 560011",Indian Non-Government Company
U00019KA1994PTC016582,21-11-1994,VIFA TISSUE CULTURE PRIVATE LIMITED,DORMANT,Private,Company Limited by Shares,"200,000.00","4,000.00",Karnataka,RoC-Bangalore,NA,"11/A,NEW NO.39,RANGA RAO ROADBANGALORE-4 BANGALORE Karnataka INDIA 560004",Indian Non-Government Company
U00019KA1995NPL019446,21-12-1995,HIMALAYAN FLORITECH PRIVATE LIMITED,STRIKE OFF,Private,Unlimited Company,"1,000,000.00","5,000.00",Karnataka,RoC-Bangalore,NA,"B.D.PURA ROAD,HALAVANAHALLIKARATAGERI TALUK TUMKUR TUMKUR Karnataka INDIA",Company licensed under Section25
U00019KA1995PTC018008,12-06-1995,RAORUK AGRO ENTERPRISES PRIVATE LIMITED,STRIKE OFF,Private,Company Limited by Shares,"1,500,000.00","3,240.00",Karnataka,RoC-Bangalore,NA,123 2ND CROSS 5TH BLOCK KORAMANGALA BANGALORE Karnataka INDIA 560095,Indian Non-Government Company
